,link,google_product_category,title,product_type,title_nouns,google_product_category_convert,product_type_convert,diff_rate,diff_rate_cat
4868,https://www.habitat.co.uk/zeno-the-space-saving-zeno-folding-stool-is-made-from-oiled-solid-oak-and-is-great-for-small-gardens-or-balconies-1781806?istCompanyId=25ebb945-5a4c-4a3c-99e5-3abea8ce47c0&istFeedId=562df97e-030e-44b0-8654-5717152e4243&istItemId=wmpwqptra&istBid=t,Furniture > Chairs > Folding Chairs & Stools,Zeno Solid Oak Folding Garden Stool,Garden > Garden tables,garden stool solid zeno oak folding,chair stool folding,garden table,63,15
546,https://www.habitat.co.uk/oken-grey-folding-side-table-236068?istCompanyId=25ebb945-5a4c-4a3c-99e5-3abea8ce47c0&istFeedId=562df97e-030e-44b0-8654-5717152e4243&istItemId=wliwwrtir&istBid=t,Furniture > Tables > Kitchen & Dining Room Tables,Oken Grey Folding Side Table With Removable Tray Top,Inspiration > Style Steals > Shop all Style Steals,table side top tray grey folding oken,table room dining kitchen,shop all steal style,47,15
3610,https://www.habitat.co.uk/nic-large-black-60x60cm-steel-trestle-779017?istCompanyId=25ebb945-5a4c-4a3c-99e5-3abea8ce47c0&istFeedId=562df97e-030e-44b0-8654-5717152e4243&istItemId=wllwtapwp&istBid=t,Furniture > Tables,Nic Large Black 60X60Cm Steel Trestle,Furniture > Home Office & Study > Desks,large trestle steel black,table,study desk office home,40,20
1015,https://www.habitat.co.uk/lagon-200-x-90cm-clear-glass-top-170811?istCompanyId=25ebb945-5a4c-4a3c-99e5-3abea8ce47c0&istFeedId=562df97e-030e-44b0-8654-5717152e4243&istItemId=wlxmmqwtp&istBid=t,Furniture > Tables,Lagon 200 X 90Cm Clear Glass Top,Furniture > Home Office & Study > Desks,x glas top clear,table,study desk office home,40,20
1014,https://www.habitat.co.uk/lagon-180-x-80cm-clear-glass-top-170810?istCompanyId=25ebb945-5a4c-4a3c-99e5-3abea8ce47c0&istFeedId=562df97e-030e-44b0-8654-5717152e4243&istItemId=wliwwrtrm&istBid=t,Furniture > Tables,Lagon 180 X 80Cm Clear Glass Top,Furniture > Home Office & Study > Desks,x glas top clear,table,study desk office home,40,20
1018,https://www.habitat.co.uk/lagon-140-x-80cm-clear-glass-top-170807?istCompanyId=25ebb945-5a4c-4a3c-99e5-3abea8ce47c0&istFeedId=562df97e-030e-44b0-8654-5717152e4243&istItemId=wlxpaapiw&istBid=t,Furniture > Tables,Lagon 140 X 80Cm Clear Glass Top,Furniture > Home Office & Study > Desks,x glas top clear,table,study desk office home,40,20
4700,https://www.habitat.co.uk/tyburn-bamboo-and-white-lacquer-compact-desk-1782689?istCompanyId=25ebb945-5a4c-4a3c-99e5-3abea8ce47c0&istFeedId=562df97e-030e-44b0-8654-5717152e4243&istItemId=wmwxlliar&istBid=t,Furniture > Tables,Tyburn Bamboo And White Lacquer Compact Desk,Furniture > Home Office & Study > Desks,bamboo compact desk lacquer white,table,study desk office home,40,20
7512,https://www.habitat.co.uk/emerson-brass-and-green-medium-planter-1786835?istCompanyId=25ebb945-5a4c-4a3c-99e5-3abea8ce47c0&istFeedId=562df97e-030e-44b0-8654-5717152e4243&istItemId=ipppitpaq&istBid=t,Home & Garden > Lawn & Garden > Gardening > Pots & Planters,Emerson Brass And Green Medium Planter,Accessories > Home accessories > Decorative accessories,planter bras medium emerson green,garden planter lawn gardening pot,decorative accessory home,45,20
1016,https://www.habitat.co.uk/lagon-160-x-80cm-clear-glass-top-170808?istCompanyId=25ebb945-5a4c-4a3c-99e5-3abea8ce47c0&istFeedId=562df97e-030e-44b0-8654-5717152e4243&istItemId=wlxlqalxi&istBid=t,Furniture > Tables,Lagon 160 X 80Cm Clear Glass Top,Furniture > Home Office & Study > Desks,x glas top clear,table,study desk office home,40,20
7513,https://www.habitat.co.uk/emerson-brass-and-blue-small-planter-1786836?istCompanyId=25ebb945-5a4c-4a3c-99e5-3abea8ce47c0&istFeedId=562df97e-030e-44b0-8654-5717152e4243&istItemId=ipppitpaa&istBid=t,Home & Garden > Lawn & Garden > Gardening > Pots & Planters,Emerson Brass And Blue Small Planter,Accessories > Home accessories > Decorative accessories,planter bras blue emerson small,garden planter lawn gardening pot,decorative accessory home,42,20
52,https://www.habitat.co.uk/nic-large-glass-and-black-metal-desk-225368?istCompanyId=25ebb945-5a4c-4a3c-99e5-3abea8ce47c0&istFeedId=562df97e-030e-44b0-8654-5717152e4243&istItemId=wllwxwwpw&istBid=t,Furniture > Tables,Nic Large Glass And Black Metal Desk,Furniture > Home Office & Study > Desks,large black glas desk metal,table,study desk office home,75,20
53,https://www.habitat.co.uk/nic-medium-glass-and-white-metal-desk-225371?istCompanyId=25ebb945-5a4c-4a3c-99e5-3abea8ce47c0&istFeedId=562df97e-030e-44b0-8654-5717152e4243&istItemId=wliwwrtwl&istBid=t,Furniture > Tables,Nic Medium Glass And White Metal Desk,Furniture > Home Office & Study > Desks,medium glas desk metal white,table,study desk office home,60,20
54,https://www.habitat.co.uk/nic-large-glass-and-white-metal-desk-225373?istCompanyId=25ebb945-5a4c-4a3c-99e5-3abea8ce47c0&istFeedId=562df97e-030e-44b0-8654-5717152e4243&istItemId=wlxpaaxpi&istBid=t,Furniture > Tables,Nic Large Glass And White Metal Desk,Furniture > Home Office & Study > Desks,large glas desk metal white,table,study desk office home,60,20
2702,https://www.habitat.co.uk/nic-small-glass-and-black-metal-desk-225381?istCompanyId=25ebb945-5a4c-4a3c-99e5-3abea8ce47c0&istFeedId=562df97e-030e-44b0-8654-5717152e4243&istItemId=iwixwwwml&istBid=t,Furniture > Tables,Nic Small Glass And Black Metal Desk,Furniture > Home Office & Study > Desks,black glas small desk metal,table,study desk office home,75,20
2778,https://www.habitat.co.uk/robson-oak-desk-with-black-frame-428832?istCompanyId=25ebb945-5a4c-4a3c-99e5-3abea8ce47c0&istFeedId=562df97e-030e-44b0-8654-5717152e4243&istItemId=wlxrtttqr&istBid=t,Furniture > Tables,Robson Oak Desk With Black Frame,Furniture > Home Office & Study > Desks,desk oak black frame,table,study desk office home,40,20
