sku_id,item_group_id,link,product_category,title,product_type,product_category_id,title_nouns,product_category_convert,product_type_convert,diff_rate,diff_rate_cat
1783229,26223,https://www.habitat.co.uk/leonie-yello-earthenwarebowl-d14cm-1783229?istCompanyId=25ebb945-5a4c-4a3c-99e5-3abea8ce47c0&istFeedId=562df97e-030e-44b0-8654-5717152e4243&istItemId=itqarqlli&istBid=t,Home & Garden > Kitchen & Dining > Tableware > Dinnerware > Bowls,Leonie Yello Earthenwarebowl D14Cm,All Kitchen > Tableware > Crockery > BowlsAll Kitchen > Tableware > ServewareNOT VISIBLE CATEGORIES > Disc LinesHabitat Day > Dining & KitchenwareAll KitchenOffers,3498,,kitchen bowl dinnerware garden dining tableware,kitchen crockery lineshabitat disc visible day category bowlsall kitchenoffer dining servewarenot kitchenwareall tableware,0,49
779534,23491,https://www.habitat.co.uk/yves-base-779534?istCompanyId=25ebb945-5a4c-4a3c-99e5-3abea8ce47c0&istFeedId=562df97e-030e-44b0-8654-5717152e4243&istItemId=wliwtwqrx&istBid=t,Home & Garden > Lighting > Lamps,YvesBaseGreyMetalFloorLampBase,Lighting > Lighting > Floor LampsLighting > Lighting > Living Room LightsOffers,4636,,garden lighting lamp,floor living lightsoffer lampslighting room lighting,0,63
779535,23492,https://www.habitat.co.uk/yves-base-779535?istCompanyId=25ebb945-5a4c-4a3c-99e5-3abea8ce47c0&istFeedId=562df97e-030e-44b0-8654-5717152e4243&istItemId=wliwtwqrw&istBid=t,Home & Garden > Lighting > Lamps,YvesBaseGreyMetalTableLampBase,Lighting > Lighting > Table LampsLighting > Lighting > Living Room LightsOffers,4636,,garden lighting lamp,living table lightsoffer lampslighting room lighting,0,63
1787861,28422,https://www.habitat.co.uk/gentry-tufted-indian-wool-pouffe-1787861?istCompanyId=25ebb945-5a4c-4a3c-99e5-3abea8ce47c0&istFeedId=562df97e-030e-44b0-8654-5717152e4243&istItemId=ipiqtrrqp&istBid=t,Furniture > Chairs > Folding Chairs & Stools,GentryTuftedIndianWoolPouffe,Sofas & Armchairs > Ready-to-go sofas,3358,,stool folding chair,ready-to-go sofa armchair,0,58
780234,23655,https://www.habitat.co.uk/yves-base-black-metal-table-lamp-base-780234?istCompanyId=25ebb945-5a4c-4a3c-99e5-3abea8ce47c0&istFeedId=562df97e-030e-44b0-8654-5717152e4243&istItemId=wliwtwqqa&istBid=t,Home & Garden > Lighting > Lamps,YvesBaseBlackMetalTableLampBase,Lighting > Lighting > Table LampsLighting > Lighting > Living Room LightsOffers,4636,,garden lighting lamp,living table lightsoffer lampslighting room lighting,0,63
780233,23654,https://www.habitat.co.uk/yves-base-white-metal-floor-lamp-base-780233?istCompanyId=25ebb945-5a4c-4a3c-99e5-3abea8ce47c0&istFeedId=562df97e-030e-44b0-8654-5717152e4243&istItemId=wliwtwqqq&istBid=t,Home & Garden > Lighting > Lamps,YvesBaseWhiteMetalFloorLampBase,Lighting > Lighting > Floor LampsLighting > Lighting > Living Room LightsOffers,4636,,garden lighting lamp,floor living lightsoffer lampslighting room lighting,0,63
1782178,24722,https://www.habitat.co.uk/keele-pink-velvet-2-seater-1782178?istCompanyId=25ebb945-5a4c-4a3c-99e5-3abea8ce47c0&istFeedId=562df97e-030e-44b0-8654-5717152e4243&istItemId=wmxappita&istBid=t,Furniture > Sofas,Keele Pink Velvet 2 Seater,Sofas & Armchairs > 2 seater sofas,460,velvet pink,sofa,sofa seater armchair,0,100
1783201,26085,https://www.habitat.co.uk/tira-small-round-yellow-serving-bowl-d26cm-1783201?istCompanyId=25ebb945-5a4c-4a3c-99e5-3abea8ce47c0&istFeedId=562df97e-030e-44b0-8654-5717152e4243&istItemId=itmrtqwaw&istBid=t,Home & Garden > Kitchen & Dining > Cookware & Bakeware > Bakeware,TiraSmallRoundYellowServingBowlD26Cm,Kitchen > Oven dishes,640,,kitchen garden dining bakeware cookware,oven dish,0,56
779640,24115,https://www.habitat.co.uk/drum-silk-ink-silk-ink-blue-lampshade-dia-35cm-779640?istCompanyId=25ebb945-5a4c-4a3c-99e5-3abea8ce47c0&istFeedId=562df97e-030e-44b0-8654-5717152e4243&istItemId=wlxrtxtla&istBid=t,Home & Garden > Lighting > Lamps,DrumSilkInkNavyBlueSilkLampshadeDia.35Cm,Lighting > Lighting > Lamp Shades,4636,,garden lighting lamp,lighting shade lamp,0,81
1783197,26081,https://www.habitat.co.uk/tira-small-yellow-storage-jar-h11-5cm-1783197?istCompanyId=25ebb945-5a4c-4a3c-99e5-3abea8ce47c0&istFeedId=562df97e-030e-44b0-8654-5717152e4243&istItemId=itmrtqwqq&istBid=t,Home & Garden > Household Supplies > Storage & Organization,TiraSmallYellowStorageJarH11.5Cm,All Kitchen > Kitchen Accessories > Kitchen StorageNOT VISIBLE CATEGORIES > Disc LinesHabitat Day > Dining & KitchenwareAll Kitchen,636,,supply storage household garden organization,kitchen lineshabitat disc visible category kitchenwareall storagenot dining day accessory,0,33
1783200,26084,https://www.habitat.co.uk/tira-large-round-blue-serving-bowl-d35cm-1783200?istCompanyId=25ebb945-5a4c-4a3c-99e5-3abea8ce47c0&istFeedId=562df97e-030e-44b0-8654-5717152e4243&istItemId=itmrtqwax&istBid=t,Home & Garden > Kitchen & Dining > Cookware & Bakeware > Bakeware,TiraLargeRoundBlueServingBowlD35Cm,Kitchen > Oven dishes,640,,kitchen garden dining bakeware cookware,oven dish,0,56
1782160,24802,https://www.habitat.co.uk/keele-light-grey-velvet-2-seater-1782160?istCompanyId=25ebb945-5a4c-4a3c-99e5-3abea8ce47c0&istFeedId=562df97e-030e-44b0-8654-5717152e4243&istItemId=wmwxlliax&istBid=t,Furniture > Sofas,Keele Light Grey Velvet 2 Seater,Sofas & Armchairs > 2 seater sofas,460,grey velvet light,sofa,sofa seater armchair,0,100
1787076,27881,https://www.habitat.co.uk/latimer-woven-water-hyacinth-laundry-basket-with-2-sections-1787076?istCompanyId=25ebb945-5a4c-4a3c-99e5-3abea8ce47c0&istFeedId=562df97e-030e-44b0-8654-5717152e4243&istItemId=ipttqaqrm&istBid=t,Home & Garden > Household Supplies > Laundry Supplies > Laundry Baskets,LatimerWovenWaterHyacinthLaundryBasketWith2Sections,Accessories > Bathroom > Laundry baskets,634,,supply basket household garden laundry,laundry basket bathroom,0,57
781552,24119,https://www.habitat.co.uk/alula-set-of-2-blue-multi-coloured-tassel-christmas-tree-decorations-781552?istCompanyId=25ebb945-5a4c-4a3c-99e5-3abea8ce47c0&istFeedId=562df97e-030e-44b0-8654-5717152e4243&istItemId=wlxrtxtmx&istBid=t,Home & Garden > Decor > Seasonal & Holiday Decorations,AlulaSetOf2BlueMulti-ColouredTasselChristmasTreeDecorations,NOT VISIBLE CATEGORIES > Disc LinesOffers,596,,seasonal decoration decor garden holiday,category linesoffer disc visible,0,33
1783198,26082,https://www.habitat.co.uk/tira-medium-green-storage-jar-h23cm-1783198?istCompanyId=25ebb945-5a4c-4a3c-99e5-3abea8ce47c0&istFeedId=562df97e-030e-44b0-8654-5717152e4243&istItemId=itmrtqwqa&istBid=t,Home & Garden > Household Supplies > Storage & Organization,TiraMediumSageGreenStorageJarH23Cm,All Kitchen > Kitchen Accessories > Kitchen StorageNOT VISIBLE CATEGORIES > Disc LinesHabitat Day > Dining & KitchenwareAll Kitchen,636,,supply storage household garden organization,kitchen lineshabitat disc visible category kitchenwareall storagenot dining day accessory,0,33
1787080,27885,https://www.habitat.co.uk/jose-black-and-grey-terrazzo-stone-toilet-brush-1787080?istCompanyId=25ebb945-5a4c-4a3c-99e5-3abea8ce47c0&istFeedId=562df97e-030e-44b0-8654-5717152e4243&istItemId=ipxqxllip&istBid=t,Furniture > Cabinets & Storage,JoseBlackAndGreyTerrazzoStoneToiletBrush,Accessories > Bathroom > Bathroom accessories,6356,,storage cabinet,accessory bathroom,0,34
1786956,27854,https://www.habitat.co.uk/clissold-multi-coloured-wire-set-of-2-baskets-1786956?istCompanyId=25ebb945-5a4c-4a3c-99e5-3abea8ce47c0&istFeedId=562df97e-030e-44b0-8654-5717152e4243&istItemId=ipxqxllwq&istBid=t,Furniture > Cabinets & Storage,ClissoldMulti-ColouredWireSetOf2Baskets,Accessories > Bathroom > Bathroom accessories,6356,,storage cabinet,accessory bathroom,0,34
1787079,27884,https://www.habitat.co.uk/jose-black-and-grey-terrazzo-stone-soap-dish-1787079?istCompanyId=25ebb945-5a4c-4a3c-99e5-3abea8ce47c0&istFeedId=562df97e-030e-44b0-8654-5717152e4243&istItemId=ipxqxllii&istBid=t,Furniture > Cabinets & Storage,JoseBlackAndGreyTerrazzoStoneSoapDish,Accessories > Bathroom > Bathroom accessories,6356,,storage cabinet,accessory bathroom,0,34
1784136,26418,https://www.habitat.co.uk/newington-ink-blue-velvet-3-seater-sofabed-1784136?istCompanyId=25ebb945-5a4c-4a3c-99e5-3abea8ce47c0&istFeedId=562df97e-030e-44b0-8654-5717152e4243&istItemId=ixiwqaaxi&istBid=t,Furniture > Sofas,Newington Ink Blue Velvet 3 Seater Sofabed,Sofas & Armchairs > Sofa beds,460,velvet ink blue,sofa,bed sofa armchair,0,100
1782192,25526,https://www.habitat.co.uk/tulsa-blue-velvet-armchair-1782192?istCompanyId=25ebb945-5a4c-4a3c-99e5-3abea8ce47c0&istFeedId=562df97e-030e-44b0-8654-5717152e4243&istItemId=iwtawqxti&istBid=t,"Furniture > Chairs > Arm Chairs, Recliners & Sleeper Chairs",TulsaBlueVelvetArmchair,Sofas & Armchairs > Ready-to-go sofas,6499,,recliner sleeper arm chair,ready-to-go sofa armchair,0,48
1787078,27883,https://www.habitat.co.uk/jose-black-and-grey-terrazzo-stone-storage-jar-1787078?istCompanyId=25ebb945-5a4c-4a3c-99e5-3abea8ce47c0&istFeedId=562df97e-030e-44b0-8654-5717152e4243&istItemId=ipxqxlliw&istBid=t,Furniture > Cabinets & Storage,JoseBlackAndGreyTerrazzoStoneStorageJar,Accessories > Bathroom > Bathroom accessories,6356,,storage cabinet,accessory bathroom,0,34
1786037,26746,https://www.habitat.co.uk/askem-green-velvet-2-seater-1786037?istCompanyId=25ebb945-5a4c-4a3c-99e5-3abea8ce47c0&istFeedId=562df97e-030e-44b0-8654-5717152e4243&istItemId=iwtawqxxr&istBid=t,Furniture > Sofas,Askem Green Velvet 2 Seater,Sofas & Armchairs > 2 seater sofas,460,velvet green,sofa,sofa seater armchair,0,100
780758,23506,https://www.habitat.co.uk/trunk-set-of-2-linen-metal-storage-trunks-with-orange-interior-780758?istCompanyId=25ebb945-5a4c-4a3c-99e5-3abea8ce47c0&istFeedId=562df97e-030e-44b0-8654-5717152e4243&istItemId=wqwltqmli&istBid=t,Home & Garden > Household Supplies > Laundry Supplies > Laundry Baskets,TrunkSetOf2LinenMetalStorageTrunksWithOrangeInterior,Accessories > Home accessories > Storage trunks,634,,supply basket household garden laundry,storage accessory trunk home,0,29
780759,23507,https://www.habitat.co.uk/trunk-set-of-2-black-metal-storage-trunks-with-gold-clasps-780759?istCompanyId=25ebb945-5a4c-4a3c-99e5-3abea8ce47c0&istFeedId=562df97e-030e-44b0-8654-5717152e4243&istItemId=wliwxmxwx&istBid=t,Home & Garden > Household Supplies > Laundry Supplies > Laundry Baskets,TrunkSetOf2BlackMetalStorageTrunksWithGoldClasps,Accessories > Home accessories > Storage trunks,634,,supply basket household garden laundry,storage accessory trunk home,0,29
312466,25392,https://www.habitat.co.uk/shadi-bright-stripe-set-of-4-towels-312466?istCompanyId=25ebb945-5a4c-4a3c-99e5-3abea8ce47c0&istFeedId=562df97e-030e-44b0-8654-5717152e4243&istItemId=ittawtwxw&istBid=t,Home & Garden > Linens & Bedding > Towels > Bath Towels & Washcloths,ShadiBrightStripeSetOf4Towels,Accessories > Bathroom > Bathroom towels,576,,towel linen bath garden bedding washcloth,towel bathroom,0,57
1782737,24573,https://www.habitat.co.uk/amelia-ribbed-glass-pendant-1782737?istCompanyId=25ebb945-5a4c-4a3c-99e5-3abea8ce47c0&istFeedId=562df97e-030e-44b0-8654-5717152e4243&istItemId=wmtawtaqq&istBid=t,Home & Garden > Lighting,AmeliaRibbedGlassPendant,Lighting > Lighting > Ceiling lights,594,,garden lighting,lighting light ceiling,0,67
1785656,26741,https://www.habitat.co.uk/askem-green-velvet-3-seater-1785656?istCompanyId=25ebb945-5a4c-4a3c-99e5-3abea8ce47c0&istFeedId=562df97e-030e-44b0-8654-5717152e4243&istItemId=iwtawqxxt&istBid=t,Furniture > Sofas,Askem Green Velvet 3 Seater,Sofas & Armchairs > Shop By Material > Wool sofas,460,velvet green,sofa,material armchair wool by sofa shop,0,100
1782738,24574,https://www.habitat.co.uk/evie-glass-five-light-ceiling-light-1782738?istCompanyId=25ebb945-5a4c-4a3c-99e5-3abea8ce47c0&istFeedId=562df97e-030e-44b0-8654-5717152e4243&istItemId=wmtawtaqa&istBid=t,Home & Garden > Lighting,EvieGlassFiveLightCeilingLight,Lighting > Lighting > Ceiling Lights,594,,garden lighting,lighting light ceiling,0,67
1787862,28423,https://www.habitat.co.uk/layne-hand-woven-wool-pouffe-1787862?istCompanyId=25ebb945-5a4c-4a3c-99e5-3abea8ce47c0&istFeedId=562df97e-030e-44b0-8654-5717152e4243&istItemId=ipiqtrrqr&istBid=t,Furniture > Chairs > Folding Chairs & Stools,LayneHand-WovenWoolPouffe,Furniture > Living Room > Pouffes & footstools,3358,,stool folding chair,room living footstool pouffe,0,45
1783661,26120,https://www.habitat.co.uk/carson-grey-reactive-glaze-serving-bowl-1783661?istCompanyId=25ebb945-5a4c-4a3c-99e5-3abea8ce47c0&istFeedId=562df97e-030e-44b0-8654-5717152e4243&istItemId=itmrtqiwt&istBid=t,Home & Garden > Kitchen & Dining > Tableware > Dinnerware > Bowls,CarsonGreyReactiveGlazeServingBowl,Kitchen > Tableware > Serving platters & salad bowls,3498,,kitchen bowl dinnerware garden dining tableware,salad platter bowl serving tableware,0,53
1784351,27203,https://www.habitat.co.uk/jovi-sequin-10cm-bauble-1784351?istCompanyId=25ebb945-5a4c-4a3c-99e5-3abea8ce47c0&istFeedId=562df97e-030e-44b0-8654-5717152e4243&istItemId=iwqtlrrra&istBid=t,Home & Garden > Decor > Seasonal & Holiday Decorations,JoviSequin10CmBauble,NOT VISIBLE CATEGORIES > Disc LinesOffers,596,,seasonal decoration decor garden holiday,category linesoffer disc visible,0,33
1784135,26417,https://www.habitat.co.uk/newington-dusty-pink-velvet-3-seater-sofabed-1784135?istCompanyId=25ebb945-5a4c-4a3c-99e5-3abea8ce47c0&istFeedId=562df97e-030e-44b0-8654-5717152e4243&istItemId=ixiwqaaxw&istBid=t,Furniture > Sofas,Newington Dusty Pink Velvet 3 Seater Sofabed,Sofas & Armchairs > Sofa beds,460,velvet pink,sofa,bed sofa armchair,0,100
780235,23656,https://www.habitat.co.uk/yves-base-white-metal-table-lamp-base-780235?istCompanyId=25ebb945-5a4c-4a3c-99e5-3abea8ce47c0&istFeedId=562df97e-030e-44b0-8654-5717152e4243&istItemId=ixiwqaatt&istBid=t,Home & Garden > Lighting > Lamps,YvesBaseWhiteMetalTableLampBase,Lighting > Lighting > Table LampsOffers,4636,,garden lighting lamp,lighting table lampsoffer,0,65
779641,24116,https://www.habitat.co.uk/drum-silk-ink-silk-ink-blue-lampshade-dia-49cm-779641?istCompanyId=25ebb945-5a4c-4a3c-99e5-3abea8ce47c0&istFeedId=562df97e-030e-44b0-8654-5717152e4243&istItemId=wlxlatxxl&istBid=t,Home & Garden > Lighting > Lamps,DrumSilkInkNavyBlueSilkLampshadeDia.49Cm,Lighting > Lighting > Lamp Shades,4636,,garden lighting lamp,lighting shade lamp,0,81
780232,23653,https://www.habitat.co.uk/yves-base-black-metal-floor-lamp-base-780232?istCompanyId=25ebb945-5a4c-4a3c-99e5-3abea8ce47c0&istFeedId=562df97e-030e-44b0-8654-5717152e4243&istItemId=wliwtwqqm&istBid=t,Home & Garden > Lighting > Lamps,YvesBaseBlackMetalFloorLampBase,Lighting > Lighting > Living Room LightsLighting > Lighting > Floor Lamps,4636,,garden lighting lamp,floor lightslighting living lamp room lighting,0,65
1784346,27199,https://www.habitat.co.uk/hem-set-of-2-10cm-glass-glitter-baubles-1784346?istCompanyId=25ebb945-5a4c-4a3c-99e5-3abea8ce47c0&istFeedId=562df97e-030e-44b0-8654-5717152e4243&istItemId=iwqtlrrrr&istBid=t,Home & Garden > Decor > Seasonal & Holiday Decorations,HemSetOf210CmGlassGlitterBaubles,NOT VISIBLE CATEGORIES > Disc LinesOffers,596,,seasonal decoration decor garden holiday,category linesoffer disc visible,0,33
1786514,28007,https://www.habitat.co.uk/brichford-grey-waffle-wool-throw-130-x-170cm-1786514?istCompanyId=25ebb945-5a4c-4a3c-99e5-3abea8ce47c0&istFeedId=562df97e-030e-44b0-8654-5717152e4243&istItemId=ipxaiaqqq&istBid=t,Home & Garden > Linens & Bedding > Bedding > Blankets,Brichford Grey Waffle Wool Throw 130 X 170Cm,Soft furnishings > Rugs cushions & throws > Bedspreads & throws,1985,x grey wool waffle throw,garden blanket linen bedding,furnishing cushion throw bedspread rug,9,33
338846,13430,https://www.habitat.co.uk/miu-yellow-patterned-cuckoo-wall-clock-338846?istCompanyId=25ebb945-5a4c-4a3c-99e5-3abea8ce47c0&istFeedId=562df97e-030e-44b0-8654-5717152e4243&istItemId=wmlwilliw&istBid=t,Home & Garden > Decor > Mirrors,Miu Yellow Patterned Cuckoo Wall Clock,Accessories > Home accessories > Clocks,595,clock yellow cuckoo wall,garden mirror decor,clock accessory home,9,35
1783727,26133,https://www.habitat.co.uk/boulle-1783727?istCompanyId=25ebb945-5a4c-4a3c-99e5-3abea8ce47c0&istFeedId=562df97e-030e-44b0-8654-5717152e4243&istItemId=itqqtxiit&istBid=t,Home & Garden > Household Supplies > Laundry Supplies > Laundry Baskets,Boulle Natural Two Drawer Filing Box,Accessories > Home accessories > Office accessories,634,drawer two natural box filing boulle,supply basket household garden laundry,office accessory home,10,29
778731,23233,https://www.habitat.co.uk/tux-red-suede-round-panelled-pouf-778731?istCompanyId=25ebb945-5a4c-4a3c-99e5-3abea8ce47c0&istFeedId=562df97e-030e-44b0-8654-5717152e4243&istItemId=wlxrttlap&istBid=t,Furniture > Chairs > Folding Chairs & Stools,Tux Red Suede Round Panelled Pouf,Furniture > Living Room > Pouffes & footstools,3358,red round suede pouf tux,stool folding chair,room living footstool pouffe,12,45
